Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Ganhadores_Quina,Ganhadores_Quadra
136,134,60,32,25,36,52,4,0,82,4575
137,135,35,40,21,59,53,22,0,40,3604
138,136,17,25,45,38,1,59,0,126,7403
139,137,26,15,16,22,19,49,0,88,6701
140,138,41,14,37,5,40,27,0,86,6953
141,139,26,27,13,42,41,3,2,179,9401
142,140,55,31,46,44,41,7,0,45,4945
143,141,10,22,42,13,41,58,0,119,10533
144,142,20,59,19,54,15,8,0,162,13991
145,143,40,18,6,20,50,53,0,144,10994
146,144,8,32,44,36,45,55,1,257,23952
147,145,43,15,41,51,16,31,0,71,3389
148,146,51,34,25,60,42,32,0,51,4079
149,147,24,6,38,23,28,16,1,75,5418
150,148,32,55,59,41,58,35,0,15,2322
151,149,11,45,48,7,28,20,0,106,6290
152,150,50,44,12,55,52,54,0,56,5540
153,151,3,43,16,56,52,20,1,152,9869
154,152,12,5,15,51,58,29,0,75,5041
155,153,47,2,31,42,45,30,0,47,4218
156,154,8,10,24,33,45,48,0,144,9252
157,155,12,32,44,43,35,30,1,67,4974
158,156,52,23,42,17,55,49,0,74,4455
159,157,17,13,4,44,41,21,1,134,8894
160,158,58,43,51,14,17,4,0,31,3630
161,159,16,9,50,58,11,35,1,57,4124
162,160,13,42,52,58,2,54,0,74,6132
163,161,25,37,30,39,6,41,0,95,6865
164,162,23,33,51,38,48,21,0,92,7244
165,163,41,56,27,36,53,8,2,146,10793
166,164,4,19,14,10,44,28,0,111,8386
167,165,39,56,19,23,10,35,2,75,5378
168,166,60,57,59,13,12,22,0,47,3371
169,167,1,38,48,28,11,33,1,82,4997
170,168,45,2,35,9,50,31,0,48,3528
171,169,52,51,37,13,21,1,0,65,4489
172,170,7,51,55,41,58,46,0,50,6257
173,171,54,27,4,43,40,46,1,134,10378
174,172,49,36,14,26,35,10,0,64,4592
175,173,29,28,49,17,42,50,1,40,3610
176,174,11,52,22,23,36,59,0,44,3217
177,175,10,20,13,1,42,50,0,114,7058
178,176,28,4,1,45,53,3,0,62,5405
179,177,35,22,39,41,59,38,0,52,4408
180,178,5,27,19,26,15,33,1,198,13086
181,179,6,53,5,26,27,23,0,78,5646
182,180,39,6,29,60,51,23,0,111,6978
183,181,33,1,55,35,51,27,0,182,11797
184,182,46,60,5,10,28,3,0,239,17413
185,183,16,11,7,40,44,2,0,306,20677
186,184,9,60,21,16,41,34,0,217,15462
187,185,59,17,22,46,43,55,0,366,24849
188,186,24,26,51,25,14,23,0,352,31164
189,187,6,44,58,41,36,48,0,397,39365
190,188,34,42,43,46,27,17,1,1200,90235
191,189,41,53,38,4,31,15,0,61,5485
192,190,32,40,42,21,10,5,0,304,21481
193,191,58,5,41,3,1,23,1,383,30477
194,192,1,60,26,41,28,54,0,53,4403
195,193,12,4,11,49,43,19,0,190,11415
196,194,32,42,43,25,28,33,0,106,7456
197,195,17,3,44,37,9,32,1,339,13819
198,196,32,17,9,14,24,7,0,182,10493
199,197,19,52,29,15,12,5,0,128,8720
200,198,40,23,1,18,35,8,0,125,7134
201,199,52,37,57,16,10,50,1,34,3143
202,200,12,15,44,34,51,19,2,186,13027
203,201,55,22,5,30,35,20,1,77,4502
204,202,49,53,44,12,24,45,0,65,4279
205,203,11,55,44,19,29,47,0,63,5417
206,204,31,41,51,39,58,29,0,32,2400
207,205,26,32,54,43,46,40,1,71,6014
208,206,20,26,56,18,34,51,0,43,3478
209,207,19,7,3,55,24,53,0,90,6510
210,208,23,15,57,24,47,25,0,72,5232
211,209,13,52,32,41,21,26,0,81,5496
212,210,37,58,20,38,48,32,0,29,3921
213,211,10,20,40,45,50,33,0,164,16680
214,212,29,57,15,45,59,6,0,147,9880
215,213,3,30,9,35,23,32,3,312,18348
216,213,3,30,9,35,23,32,3,312,18348
217,213,3,30,9,35,23,32,3,312,18348
218,214,30,12,6,50,35,31,0,54,3769
219,215,7,58,28,53,37,46,0,78,4942
220,216,35,42,59,18,30,14,4,91,5049
221,216,35,42,59,18,30,14,4,91,5049
222,216,35,42,59,18,30,14,4,91,5049
223,216,35,42,59,18,30,14,4,91,5049
224,217,27,32,3,51,49,45,0,159,5820
225,218,54,40,42,17,47,12,1,95,4679
226,219,26,23,49,28,42,36,0,80,5139
227,220,36,53,55,13,60,14,1,125,8067
228,221,54,13,58,43,50,27,0,49,3793
229,222,5,48,30,55,52,19,0,55,4462
230,223,28,24,22,2,58,6,0,163,7780
231,224,20,16,18,7,44,21,0,119,7185
232,225,21,16,4,37,2,58,0,83,5517
233,226,2,50,59,38,49,1,1,78,4123
234,227,37,26,27,42,11,48,0,51,3648
235,228,16,40,45,59,43,13,0,64,4497
236,229,39,45,11,21,33,13,1,121,7685
237,230,56,44,41,40,8,53,0,94,5820
238,231,16,59,27,42,44,36,0,125,9458
239,232,29,19,41,22,37,59,0,124,8807
240,233,45,3,24,36,7,32,5,512,21452
241,233,45,3,24,36,7,32,5,512,21452
242,233,45,3,24,36,7,32,5,512,21452
243,233,45,3,24,36,7,32,5,512,21452
244,233,45,3,24,36,7,32,5,512,21452
245,234,15,45,54,25,42,41,0,39,3505
246,235,29,41,55,2,31,22,0,52,3086
247,236,10,52,50,57,25,60,0,76,4703
248,237,36,7,45,31,56,57,0,54,4145
249,238,15,9,41,13,37,42,4,188,10483
250,238,15,9,41,13,37,42,4,188,10483
251,238,15,9,41,13,37,42,4,188,10483
252,238,15,9,41,13,37,42,4,188,10483
253,239,33,21,44,46,47,6,1,30,3826
254,240,59,28,25,41,57,38,0,103,6244
255,241,11,57,40,35,56,31,0,74,5485
256,242,22,7,4,21,28,56,0,203,13497
257,243,20,47,23,32,16,11,0,180,13705
258,244,19,60,50,24,47,33,0,204,14735
259,245,44,51,27,53,8,60,3,283,21593
260,245,44,51,27,53,8,60,3,283,21593
261,245,44,51,27,53,8,60,3,283,21593
262,246,2,57,32,43,16,37,0,93,5429
263,247,34,3,30,10,23,46,0,80,6425
264,248,56,16,34,41,35,32,0,50,4862
265,249,21,55,54,40,36,49,0,60,4247
266,250,55,25,41,42,43,7,0,203,15545
267,251,34,15,23,55,49,30,0,180,12813
268,252,17,54,4,51,32,26,2,354,22122
269,252,17,54,4,51,32,26,2,354,22122
270,253,12,11,56,44,24,37,0,126,7260
271,254,4,30,56,21,22,1,0,66,6381
272,255,32,44,55,19,20,16,0,80,6812
273,256,21,52,34,26,2,32,0,91,6319
274,257,28,5,1,34,4,19,1,175,11706
275,258,12,60,54,7,55,50,0,53,3615
276,259,20,43,33,13,15,58,0,65,5581
277,260,43,4,60,59,6,33,0,120,8956
278,261,5,54,20,56,30,16,0,91,7281
279,262,53,60,48,20,58,11,0,108,8838
280,263,8,50,26,9,53,43,0,136,12752
281,264,5,25,31,13,1,33,2,979,50364
282,264,5,25,31,13,1,33,2,979,50364
283,265,7,50,53,16,41,34,0,64,3855
284,266,38,54,48,23,2,46,0,89,6687
285,267,58,1,45,55,8,46,0,46,4076
286,268,21,10,47,6,5,33,0,111,10133
287,269,19,18,52,25,17,49,0,110,8717
288,270,45,27,35,40,5,9,1,228,16867
289,271,14,31,54,29,26,24,0,43,4385
290,272,36,58,9,10,56,24,0,70,5491
291,273,47,52,10,27,23,17,1,92,7241
292,274,11,39,47,18,13,26,0,142,7420
293,275,16,30,19,38,48,37,0,41,3737
294,276,53,59,39,45,22,57,0,79,5172
295,277,40,26,38,4,56,52,0,95,5404
296,278,22,10,18,55,15,31,0,99,6996
297,279,31,59,4,58,23,47,0,58,6137
298,280,5,16,30,25,58,20,0,192,14673
299,281,11,5,47,31,53,38,1,188,12864
300,282,33,24,36,9,14,23,1,76,6064
